id_cuota,id_prestamo,nro_cuota,fecha_vencimiento,monto_cuota,estado_pago
1001,101,1,2025-02-06,"214000,00",pagado
1002,101,2,2025-03-06,"214000,00",pagado
1003,101,3,2025-04-06,"214000,00",pagado
1004,102,1,2025-02-21,"122500,00",pagado
1005,102,2,2025-03-21,"122500,00",pagado
1006,102,3,2025-04-21,"122500,00",pagado
1007,102,4,2025-05-21,"122500,00",pagado
1008,102,5,2025-06-21,"122500,00",pagado
1009,102,6,2025-07-21,"122500,00",pagado
1010,103,1,2025-03-12,"157500,00",pagado
1011,103,2,2025-04-12,"157500,00",pagado
1012,103,3,2025-05-12,"157500,00",pagado
1013,104,1,2025-03-12,"416000,00",pagado
1014,104,2,2025-04-12,"416000,00",pagado
1015,104,3,2025-05-12,"416000,00",pagado
1016,105,1,2025-04-08,"61250,00",pagado
1017,105,2,2025-05-08,"61250,00",pagado
1018,105,3,2025-06-08,"61250,00",pagado
1019,105,4,2025-07-08,"61250,00",pagado
1020,105,5,2025-08-08,"61250,00",pagado
1021,105,6,2025-09-08,"61250,00",pagado
1022,106,1,2025-05-25,"71333,33",pagado
1023,106,2,2025-06-25,"71333,33",pagado
1024,106,3,2025-07-25,"71333,33",pagado
1025,106,4,2025-08-25,"71333,33",pagado
1026,106,5,2025-09-25,"71333,33",pagado
1027,106,6,2025-10-25,"71333,33",pagado
1028,107,1,2025-06-18,"175000,00",pagado
1029,107,2,2025-07-18,"175000,00",pagado
1030,107,3,2025-08-18,"175000,00",pagado
1031,108,1,2025-06-29,"49041,67",pagado
1032,108,2,2025-07-29,"49041,67",pagado
1033,108,3,2025-08-29,"49041,67",pagado
1034,108,4,2025-09-29,"49041,67",pagado
1035,108,5,2025-10-29,"49041,67",pagado
1036,108,6,2025-11-29,"49041,67",pagado
1037,108,7,2025-12-29,"49041,67",pagado
1038,108,8,2026-01-29,"49041,67",pagado
1039,108,9,2026-02-28,"49041,67",pagado
1040,108,10,2026-03-29,"49041,67",pendiente
1041,108,11,2026-04-29,"49041,67",pendiente
1042,108,12,2026-05-29,"49041,67",pendiente
1043,109,1,2025-07-02,"346666,67",pagado
1044,109,2,2025-08-02,"346666,67",pagado
1045,109,3,2025-09-02,"346666,67",pagado
1046,110,1,2025-07-15,"104000,00",pagado
1047,110,2,2025-08-15,"104000,00",pagado
1048,110,3,2025-09-15,"104000,00",pagado
1049,110,4,2025-10-15,"104000,00",pagado
1050,110,5,2025-11-15,"104000,00",pagado
1051,110,6,2025-12-15,"104000,00",pagado
1052,111,1,2025-08-14,"72000,00",pagado
1053,111,2,2025-09-14,"72000,00",pagado
1054,111,3,2025-10-14,"72000,00",pagado
1055,112,1,2025-08-29,"46366,67",pagado
1056,112,2,2025-09-29,"46366,67",pagado
1057,112,3,2025-10-29,"46366,67",pagado
1058,112,4,2025-11-29,"46366,67",pagado
1059,112,5,2025-12-29,"46366,67",pagado
1060,112,6,2026-01-29,"46366,67",pagado
1061,112,7,2026-02-28,"46366,67",pagado
1062,112,8,2026-03-29,"46366,67",pendiente
1063,112,9,2026-04-29,"46366,67",pendiente
1064,112,10,2026-05-29,"46366,67",pendiente
1065,112,11,2026-06-29,"46366,67",pendiente
1066,112,12,2026-07-29,"46366,67",pendiente
